Date,Open,High,Low,Close,Volume
2024-11-02 07:00:00,69744.4,69820.1,69672.6,69806.2,3.42131239
2024-11-02 08:00:00,69806.3,69840.1,69623.5,69632.1,2.03648919
2024-11-02 09:00:00,69631.7,69671.0,69522.4,69555.2,1.84925877
2024-11-02 10:00:00,69556.9,69591.5,69470.3,69591.5,2.7689264
2024-11-02 11:00:00,69597.3,69687.6,69593.9,69616.3,0.23465853
2024-11-02 12:00:00,69603.6,69669.6,69421.1,69426.4,0.875909
2024-11-02 13:00:00,69483.9,69688.1,69420.0,69420.0,1.11540622
2024-11-02 14:00:00,69420.0,69420.0,69084.7,69269.6,3.67173783
2024-11-02 15:00:00,69262.3,69442.4,69139.5,69437.7,1.50117618
2024-11-02 16:00:00,69396.0,70000.0,69370.1,69598.8,159.54591499
2024-11-02 17:00:00,69598.8,69599.9,69373.0,69414.0,2.09586039
2024-11-02 18:00:00,69414.0,69488.0,69283.0,69443.0,1.54212212
2024-11-02 19:00:00,69442.9,69552.9,69323.4,69527.8,12.04389527
2024-11-02 20:00:00,69531.2,69575.7,69500.1,69529.3,2.08333214
2024-11-02 21:00:00,69567.4,69567.4,69462.0,69462.0,0.66612799
2024-11-02 22:00:00,69444.4,69540.9,69366.2,69436.9,8.62129245
2024-11-02 23:00:00,69444.6,69444.6,69196.7,69310.8,0.69211518
2024-11-03 00:00:00,69368.5,69374.9,69170.9,69170.9,0.68549475
2024-11-03 01:00:00,69169.8,69179.8,68855.7,69005.9,12.76734246
2024-11-03 02:00:00,69005.8,69264.8,67100.1,68151.9,162.50595075
2024-11-03 03:00:00,68182.8,68434.2,67884.2,68416.7,28.26720051
2024-11-03 04:00:00,68342.8,68666.7,68317.7,68572.3,0.76036705
2024-11-03 05:00:00,68586.2,68665.2,68419.5,68423.9,3.42866187
2024-11-03 06:00:00,68423.9,68749.7,68381.8,68594.0,19.15073321
2024-11-03 07:00:00,68594.1,68935.1,68413.4,68413.5,15.51126017
2024-11-03 08:00:00,68413.5,68552.4,68328.8,68539.1,4.58223094
2024-11-03 09:00:00,68539.0,68539.1,68212.2,68242.7,1.23326934
2024-11-03 10:00:00,68262.4,68552.4,68262.1,68434.5,3.43015081
2024-11-03 11:00:00,68447.3,68585.1,68342.9,68342.9,4.06579046
2024-11-03 12:00:00,68365.0,68538.0,68323.9,68488.7,1.59490546
2024-11-03 13:00:00,68489.5,68489.5,68025.4,68051.6,4.09851736
2024-11-03 14:00:00,68043.0,68147.9,67650.3,67763.7,5.37962095
2024-11-03 15:00:00,67772.0,68184.0,67500.0,68096.9,32.51579703
2024-11-03 16:00:00,68079.1,68521.1,68066.4,68152.7,6.48155962
2024-11-03 17:00:00,68146.9,68488.3,68146.9,68340.7,11.71970943
2024-11-03 18:00:00,68400.2,68424.6,67749.5,68002.2,2.75440681
2024-11-03 19:00:00,68002.3,68657.7,68002.3,68657.7,7.18839925
2024-11-03 20:00:00,68657.8,68910.5,68552.8,68910.5,2.53295478
2024-11-03 21:00:00,68914.3,69287.4,68914.3,69144.1,3.2361607
2024-11-03 22:00:00,69158.4,69250.0,68812.3,68904.1,3.91138433
2024-11-03 23:00:00,68883.2,68883.2,68558.6,68739.0,3.08728489
2024-11-04 00:00:00,68774.8,68774.8,68297.2,68664.0,8.9196112
2024-11-04 01:00:00,68703.6,68971.8,68634.4,68957.3,0.45879601
2024-11-04 02:00:00,68957.4,69265.0,68876.3,69248.4,1.7005447
2024-11-04 03:00:00,69271.1,69443.1,69052.1,69052.1,7.20654919
2024-11-04 04:00:00,69070.1,69371.1,69070.0,69144.1,5.31429846
2024-11-04 05:00:00,69151.7,69151.8,68731.0,68813.7,2.31682133
2024-11-04 06:00:00,68813.7,69150.5,68813.7,69117.5,3.82297797
