datetime,open,high,low,close,volume,trades
1576778400,7140.0,7140.0,7140.0,7140.0,0.00429554,1
1576836000,7112.8,7396.0,7112.8,7380.7,0.15325744,6
1576843200,7157.0,7832.0,7157.0,7832.0,0.10276588,2
1576850400,7157.0,7157.0,7157.0,7157.0,0.02487171,1
1576854000,7179.6,7179.6,7171.6,7171.6,0.01317854,2
1576857600,7163.8,7163.8,7163.8,7163.8,0.023,1
1576861200,7172.9,7172.9,7172.9,7172.9,0.005,1
1576864800,7203.1,7203.1,7201.4,7201.4,0.02111227,2
1576872000,7202.7,7202.7,7200.4,7200.4,0.00711007,2
1576875600,7199.4,7199.4,7198.1,7198.1,0.0589277,2
1576879200,7200.2,7200.2,7177.6,7177.6,0.03274175,2
1576882800,7188.4,7192.7,7186.9,7186.9,0.7105819,18
1576886400,7183.0,7183.0,7168.5,7168.5,0.05143915,3
1576897200,7157.9,7157.9,7157.9,7157.9,0.0024,3
1576908000,7157.0,7157.0,7157.0,7157.0,0.03342354,1
1576911600,7141.0,7141.0,7141.0,7141.0,0.03089861,1
1576918800,7120.0,7129.7,7120.0,7129.7,0.30927316,4
1576922400,7123.9,7136.6,7123.9,7136.6,0.08098874,3
1576926000,7135.0,7146.0,7135.0,7141.8,0.15,5
1576929600,7135.0,7147.5,7131.8,7147.5,0.08450796,3
1576958400,7138.8,7154.4,7050.0,7100.0,5.01132824,23
1576962000,7154.4,7166.5,7154.4,7166.5,0.58541254,8
1576965600,7134.1,7134.1,7133.1,7133.1,0.10043406,14
1576969200,7132.1,7132.1,7132.1,7132.1,0.14539342,11
1576972800,7123.7,7123.7,7123.7,7123.7,0.00322082,1
1577001600,7198.2,7199.0,7198.2,7199.0,0.15288587,5
1577019600,7180.9,7182.0,7180.9,7180.9,0.36265188,10
1577023200,7173.4,7173.4,7173.4,7173.4,0.00416117,1
1577026800,7179.2,7179.2,7179.2,7179.2,0.01552553,1
1577030400,7198.0,7250.2,7198.0,7223.3,3.29877229,68
1577034000,7230.0,7361.5,7230.0,7332.8,0.64741137,18
1577037600,7402.2,7402.2,7402.2,7402.2,0.02534622,2
1577041200,7397.1,7410.7,7397.0,7404.2,0.21210422,6
1577044800,7424.4,7439.5,7418.9,7439.5,0.35019527,6
1577052000,7387.6,7410.9,7387.6,7410.9,0.188,6
1577055600,7459.7,7489.5,7459.7,7489.5,0.08216283,2
1577059200,7526.4,7588.0,7526.4,7563.1,0.53870636,12
1577062800,7574.4,7582.7,7574.4,7582.7,0.02903425,2
1577066400,7556.0,7556.0,7556.0,7556.0,0.00294344,1
1577070000,7574.7,7600.0,7574.7,7600.0,0.14833583,4
1577080800,7553.0,7553.0,7466.4,7476.0,1.11483114,41
1577084400,7471.3,7480.0,7466.2,7480.0,1.04216739,18
1577088000,7495.0,7515.9,7471.0,7471.0,0.70436184,4
1577095200,7518.0,7518.0,6666.1,6666.1,2.71424,13
1577098800,7527.1,7549.3,7527.0,7549.3,1.66251063,21
1577102400,7545.3,7545.3,7545.3,7545.3,0.00595436,1
1577106000,7548.8,7586.8,7532.4,7579.7,0.12158213,7
1577109600,7519.0,7553.4,7519.0,7553.4,0.84187811,5
1577113200,7571.8,7580.0,7553.4,7580.0,0.58271963,6
1577116800,7603.1,7667.5,7506.6,7526.5,0.20489693,19
1577120400,7522.0,7550.4,7399.4,7399.4,0.23950554,12
1577124000,7393.2,7393.2,7382.8,7382.8,0.03504644,2
1577127600,7424.8,7424.8,7382.0,7382.0,2.55148629,38
1577131200,7424.9,7424.9,7412.4,7412.4,0.12301588,5
1577134800,7243.7,7328.8,7229.7,7317.2,1.15308558,7
1577138400,7310.9,7310.9,7298.0,7298.0,0.1317845,3
1577142000,7307.8,7325.6,7307.8,7325.6,0.07839072,5
1577152800,7308.1,7317.4,7308.1,7315.1,0.0184495,6
1577163600,7319.8,7319.8,7305.9,7305.9,0.05419684,4
1577167200,7329.6,7329.6,7329.6,7329.6,0.00549303,1
1577170800,7325.0,7400.0,7269.1,7279.9,2.11786338,17
1577174400,7274.8,7342.1,7264.9,7342.1,0.29888846,5
1577178000,7323.8,7323.8,7242.5,7242.5,1,4
1577181600,7358.7,7365.6,7358.7,7365.6,0.05909727,4
1577185200,7360.0,7372.2,7360.0,7372.2,0.0724434,4
1577188800,7371.5,7579.9,7361.9,7579.9,1.1120665,6
1577196000,7380.1,7400.4,7380.1,7400.4,0.03088141,2
1577199600,7343.3,7343.3,7319.5,7319.5,0.00701214,2
1577203200,7250.0,7281.9,7250.0,7281.9,1.05696732,19
1577206800,7290.2,7290.2,7290.2,7290.2,0.03858192,1
1577210400,7199.7,7199.7,7150.0,7150.0,1.26855143,5
1577214000,7220.3,7220.3,7220.3,7220.3,0.1,1
1577217600,7254.0,7254.0,7254.0,7254.0,0.00254587,1
1577224800,7238.4,7238.4,7238.4,7238.4,0.01943,2
1577228400,7235.2,7235.2,7231.1,7235.2,0.5184449,4
1577232000,7240.0,7253.6,7240.0,7253.6,0.02465162,2
1577235600,7217.8,7240.8,7217.8,7240.8,0.01033437,2
